"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",675839.800597261,1247037.8576078,0.541956121439433,0.587850839467166
"p6800_num",19130.4243989561,1358.70939113459,14.0798499839478,6.00371731332343e-45
"p6850_num",-92.0985360170594,1184.43241439768,-0.0777575274853437,0.938021203548882
"rama2d_r401",-503893.285752169,1246924.63639459,-0.40410885393134,0.686134181425993
"rama2d_r402",60030.8886516759,1275913.18459386,0.0470493520848633,0.962474057613388
"rama2d_r403",-808744.513875812,1253184.53414291,-0.64535149600209,0.51870201022267
"rama2d_r405",1311784.7293081,1263310.26587801,1.03837098829906,0.29910174897548
"rama2d_r406",3662325.24836633,1266096.4036901,2.89261168240609,0.00382197008035292
"rama2d_r407",-598547.066343564,1256472.84401786,-0.476370873587344,0.633811996220365
"rama2d_r408",-641701.186343815,1268636.06903523,-0.505819755567737,0.612985132863913
"rama2d_r409",2187321.9867807,1283423.97700564,1.70428636675773,0.0883330178503728
"rama2d_r410",30801.4735630267,1248227.06863838,0.024676178186575,0.980313342206174
"rama2d_r411",327605.16212538,1258650.69910838,0.260282826964982,0.79464655280586
"rama2d_r412",1120416.37263849,1649050.12106535,0.679431363744516,0.496867325229684
"rama2d_r413",-96107.4392580706,1263016.5755336,-0.076093569253014,0.939344921746327
"rama2d_r414",-316601.965104854,1248804.55784065,-0.253524030735683,0.799864202599145
"rama2d_r415",-633202.302126676,1251536.71242475,-0.505939854452931,0.612900817795226
"rama2d_r416",-735094.967804395,1261815.58737862,-0.582569255885902,0.560185597395698
"rama2d_r417",1364214.64853959,1271583.76765457,1.07284685699934,0.283344347827973
"rama2d_r418",-99658.8351091654,1272630.8567467,-0.0783093027965146,0.9375822908482
"rama2d_r419",984184.237440744,1336791.53217051,0.736228659260546,0.461594565264401
"rama2d_r420",977730.76846403,1259484.92654183,0.776294140453577,0.437578533688998
"rama2d_r421",1504508.27735065,1271584.94974715,1.18317559330174,0.236744468611082
"rama2d_r422",512100.17373168,1259220.73344598,0.406680227008548,0.684244382560079
"rama2d_r423",324441.936770118,1256070.40988528,0.2582991639774,0.796176958389419
"rama2d_r424",234433.837384487,1283417.65392075,0.182663715641053,0.855062533126026
"rama2d_r425",-81712.4383972231,1250457.94282553,-0.0653460109282731,0.947898736960282
"rama2d_r426",289829.498828254,1406314.10958325,0.20609158142781,0.836720106276873
"rama2d_r427",202616.047650364,1275899.66606522,0.158802492891323,0.873825043901979
"rama2d_r428",724256.686984877,1294836.54019444,0.559342175249487,0.57593040145967
"rama2d_r429",666684.181596303,1283417.56688346,0.519460071919713,0.603441954545352
"rama2d_r430",431630.158219648,1319241.63335911,0.327180515915505,0.743532550907629
"rama2d_r431",-181212.3379501,1250589.98081027,-0.144901479086447,0.884789167849663
"rama2d_r432",-297799.968462879,1255897.91867553,-0.237121157726687,0.81256364590413
"rama2d_r433",376057.261071794,1256472.85033749,0.299295970438824,0.764715313520527
"rama2d_r435",1384467.30797535,1252932.02177991,1.1049819813916,0.269172032821511
"rama2d_r436",576327.96650365,1257204.57301761,0.4584201957843,0.646652322126713
"rama2d_r437",445566.438998875,1762981.2810747,0.252734639772954,0.800474183842129
"rama2d_r438",-556316.327192804,1250786.30944763,-0.444773278209674,0.656485285831648
"rama2d_r439",847010.919963149,1649052.55905532,0.513634884050249,0.607509264507166
"rama2d_r441",-285062.399556677,1247225.37381392,-0.228557248386454,0.819213870813386
"rama2d_r442",723183.980646314,1249881.79664378,0.578601898666122,0.56286009563454
"rama2d_r443",-146669.421274633,1248855.83128098,-0.117443036738829,0.906509392933371
"rama2d_r445",-46789.5221794571,1247764.78443434,-0.0374986718355483,0.97008752965119
"rama2d_r446",553277.49130579,1248057.69642044,0.443310828411738,0.657542596910804
"rama2d_r447",-261655.8107514,1246802.55141771,-0.209861465597642,0.833776543984492
"rama2d_r449",-426435.87769344,1247073.22416457,-0.341949349429031,0.732390263290027
"rama2d_r450",183114.205159391,1277865.91289964,0.143296885307693,0.886056219091139
"rama2d_r451",2579978.00789009,1277355.19574635,2.01978119827713,0.0434107296622892
"rama2d_r452",-159395.92795889,1249365.86965749,-0.127581464989586,0.898480647387205
"rama2d_r453",-236024.700523964,1250283.72060043,-0.188776912500001,0.850268335661061
"rama2d_r455",95297.6101576402,1249651.67049964,0.0762593388280255,0.939213040544407
"rama2d_r456",-405032.941465144,1247042.16511536,-0.324794904932244,0.745337485716075
"rama2d_r458",3165411.44590191,1280114.7841605,2.47275594741123,0.0134104440195863
"rama2d_r459",1441828.32129619,1290322.25102431,1.11741723445566,0.263820650929429
"rama2d_r460",2485282.97516139,1277864.38432564,1.9448722459488,0.0517952377522469
"rama2d_r461",639595.602283934,1253202.03608683,0.510369105592182,0.609794861170332
"rama2d_r462",3182683.3030249,1253450.53805231,2.53913752988639,0.0111152316487837
"rama2d_r463",866546.20841219,1328846.30114469,0.652104165595174,0.514336590622401
"rama2d_r464",1172037.05815304,1249838.80238952,0.937750577044229,0.348376554571842
"rama2d_r465",1521692.0882914,1254026.01292083,1.21344539316783,0.224964577999123
"rama2d_r466",2493070.76982929,1305494.50164803,1.90967542696051,0.0561800009505836
"rama2d_r468",246863.027118978,1249296.15898378,0.197601685832272,0.843357416072059
"rama2d_r469",1489819.57692015,1249625.23293152,1.1922131033039,0.233182630187628
"rama2d_r470",2353391.06292932,1258277.12020875,1.87032810589363,0.0614433588956967
"rama2d_r471",1643602.4090541,1252344.34700511,1.31242051196594,0.189383542424953
"rama2d_r472",1603158.89377777,1298894.86956066,1.2342483840282,0.217115420904619
"rama2d_r473",1114604.11286471,1254741.3588188,0.888313838569871,0.374375683668476
"rama2d_r474",1353651.75652513,1253977.68241538,1.0794863222109,0.280375528077449
"rama2d_r475",278018.330841644,1272272.0568406,0.218521132604327,0.827023872315429
"rama2d_r477",156481.942975644,1262181.78148294,0.123977342464723,0.901333649250124
"rama2d_r478",1313546.79728351,1273375.4946558,1.03154709886935,0.302288683799003
"rama2d_r479",430907.232734907,1264943.44634492,0.340653358045392,0.73336580331649
"rama2d_r480",188671.911009279,1251582.43158891,0.15074669174587,0.880176069593576
"rama2d_r481",-652458.245504663,1247716.52734042,-0.522921858617531,0.601030652887433
"rama2d_r482",296883.218004415,1251259.25613145,0.237267549909917,0.812450082371816
"rama2d_r484",2122946.91724326,1247265.36247526,1.70208119387696,0.088745568819035
"rama2d_r485",1821648.41775092,1247156.54760241,1.46064134550946,0.144119372048408
"rama2d_r486",1269709.43871364,1247340.21810582,1.01793353592157,0.308713837409133
"rama2d_r487",-163550.084463553,1273772.35084552,-0.128398205813613,0.897834301211763
"rama2d_r488",-129043.516156863,1250995.96615649,-0.103152623707757,0.917842200754947
"rama2d_r490",26197.7166278906,1259901.4819561,0.0207934644121669,0.983410483599905
"rama2d_r491",872065.134982643,1322183.74738326,0.659564252478941,0.509536149430743
"rama2d_r492",-458833.33454323,1253737.50785538,-0.365972407835274,0.714387014774598
"rama2d_r493",285463.43803604,1254568.8174869,0.227539082796485,0.820005393600171
"rama2d_r494",851875.050873414,1250790.08772665,0.681069556940382,0.495830229014775
"rama2d_r495",-619871.768338531,1249083.46620334,-0.496261286863935,0.61971197799955
"rama2d_r496",-433875.212552492,1247754.37543036,-0.347724857629007,0.728048102827597
"rama2d_r497",-564057.632218591,1247564.08677356,-0.45212717983679,0.651179074346834
"rama2d_r499",4543878.24998113,1358432.19156372,3.34494299987883,0.000823522322540269
